x,y,speed
0.0000,-0.0000,4.20
0.1530,-0.0003,4.20
0.3059,-0.0009,4.20
0.4588,-0.0018,4.20
0.6117,-0.0030,4.20
0.7645,-0.0043,4.20
0.9173,-0.0058,4.20
1.0700,-0.0074,4.20
1.2227,-0.0090,4.20
1.3753,-0.0107,4.20
1.5279,-0.0124,4.20
1.6803,-0.0140,4.20
1.8327,-0.0154,4.20
1.9850,-0.0168,4.20
2.1373,-0.0179,4.20
2.2894,-0.0189,4.20
2.4414,-0.0195,4.20
2.5933,-0.0198,4.20
2.7451,-0.0198,4.20
2.8968,-0.0194,4.20
3.0484,-0.0185,4.20
3.1998,-0.0171,4.20
3.3511,-0.0152,4.20
3.5023,-0.0127,4.20
3.6533,-0.0097,4.20
3.8042,-0.0059,4.20
3.9549,-0.0015,4.20
4.1055,0.0037,4.20
4.2559,0.0095,4.20
4.4063,0.0157,4.20
4.5566,0.0222,4.20
4.7069,0.0286,4.20
4.8573,0.0350,4.20
5.0078,0.0410,4.20
5.1585,0.0465,4.20
5.3093,0.0512,4.20
5.4605,0.0550,4.20
5.6119,0.0577,4.20
5.7637,0.0592,4.20
5.9158,0.0591,4.20
6.0685,0.0573,4.20
6.2216,0.0536,4.20
6.3752,0.0479,4.20
6.5295,0.0399,4.20
6.6844,0.0295,4.20
6.8400,0.0164,4.20
6.9963,0.0004,4.20
7.1533,-0.0183,4.20
7.3107,-0.0383,4.20
7.4682,-0.0581,4.20
7.6252,-0.0758,4.20
7.7814,-0.0898,4.00
7.9364,-0.0984,3.43
8.0898,-0.0998,3.03
8.2412,-0.0925,2.73
8.3902,-0.0746,2.50
8.5364,-0.0445,2.34
8.6795,-0.0005,2.24
8.8189,0.0592,2.23
8.9536,0.1353,2.25
9.0807,0.2264,2.23
9.1970,0.3308,2.16
9.2993,0.4466,2.05
9.3843,0.5720,1.95
9.4493,0.7053,1.96
9.4953,0.8453,2.10
9.5248,0.9910,2.34
9.5405,1.1414,2.68
9.5451,1.2955,3.16
9.5413,1.4524,3.90
9.5316,1.6110,4.20
9.5187,1.7705,4.20
9.5054,1.9298,4.20
9.4941,2.0880,4.20
9.4859,2.2447,4.20
9.4804,2.4000,4.20
9.4773,2.5542,4.20
9.4763,2.7073,4.20
9.4770,2.8594,4.20
9.4790,3.0108,4.20
9.4819,3.1616,4.20
9.4855,3.3119,4.20
9.4894,3.4618,4.20
9.4932,3.6116,4.20
9.4965,3.7613,4.20
9.4990,3.9111,4.20
9.5004,4.0612,4.20
9.5005,4.2116,4.20
9.4997,4.3623,4.20
9.4981,4.5134,4.20
9.4960,4.6647,4.20
9.4938,4.8164,4.20
9.4916,4.9683,4.20
9.4899,5.1206,4.20
9.4887,5.2731,4.20
9.4884,5.4259,4.20
9.4893,5.5790,4.20
9.4917,5.7323,4.20
9.4957,5.8859,4.20
9.5018,6.0397,4.20
9.5094,6.1937,4.20
9.5174,6.3478,4.20
9.5243,6.5017,4.20
9.5284,6.6552,4.20
9.5285,6.8082,3.80
9.5228,6.9604,3.36
9.5101,7.1118,3.05
9.4888,7.2621,2.82
9.4574,7.4111,2.66
9.4144,7.5586,2.58
9.3585,7.7044,2.56
9.2898,7.8466,2.54
9.2090,7.9825,2.47
9.1170,8.1096,2.35
9.0147,8.2251,2.20
8.9028,8.3264,2.05
8.7823,8.4110,1.97
8.6538,8.4771,1.99
8.5184,8.5263,2.12
8.3766,8.5603,2.32
8.2295,8.5812,2.59
8.0777,8.5906,2.93
7.9221,8.5906,3.38
7.7635,8.5829,3.99
7.6026,8.5694,4.20
7.4404,8.5520,4.20
7.2775,8.5326,4.20
7.1149,8.5130,4.20
6.9533,8.4951,4.20
6.7932,8.4800,4.20
6.6345,8.4676,4.20
6.4772,8.4579,4.20
6.3212,8.4505,4.20
6.1663,8.4453,4.20
6.0125,8.4422,4.20
5.8597,8.4408,4.20
5.7077,8.4411,4.20
5.5565,8.4428,4.20
5.4060,8.4458,4.20
5.2560,8.4499,4.20
5.1065,8.4548,4.20
4.9574,8.4604,4.20
4.8085,8.4665,4.20
4.6598,8.4729,4.20
4.5112,8.4794,4.20
4.3626,8.4858,4.20
4.2138,8.4920,4.20
4.0648,8.4977,4.20
3.9155,8.5028,4.20
3.7658,8.5072,4.20
3.6158,8.5109,4.20
3.4655,8.5140,4.20
3.3148,8.5165,4.20
3.1639,8.5185,4.20
3.0127,8.5199,4.20
2.8612,8.5209,4.20
2.7095,8.5215,4.20
2.5576,8.5216,4.20
2.4055,8.5214,4.20
2.2533,8.5208,4.20
2.1008,8.5200,4.20
1.9482,8.5189,4.20
1.7955,8.5177,4.20
1.6427,8.5162,4.20
1.4897,8.5146,4.20
1.3367,8.5129,4.20
1.1837,8.5112,4.20
